NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,436.1289656332126
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,421.62526887728256
b38a03232f43b11c9d0788abaf060f7366053b6d,585.8181874338538
715494628a50142ce8cb17191cfe6d0f3cae0934,546.2808235696617
e656d6bad65c93fb2880f1eba5037008c8e75774,482.52542637210047
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,567.3585026142313
11539e86171bf07d3a36f09377d7f54ebcc8406a,421.923623808838
043c544a2104aa8a9849f1a703a08d37a2f16839,454.5495940415748
76ba050e64ad100b856f0eaabd8f539d5c7dd185,474.19598617160864
940aede382ccb332fab15d413217695ec44ca765,466.05760446478996
9ad714b116da76d878dd399d187fccc2dd13dd63,574.7226249039501
dd34464a4d780b12a089347ad580418ac57a3055,522.8539409870904
f837a4cb05a5fd59d20138182f5e8c721eadd584,477.91469100957227
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,385.20002045542753
3d203727f27abd83b71732d88d8cb1cc099f363b,431.2807105977505
cbc301183dec912f3513ca766bf03dd565f3a38f,478.8770154419418
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,601.031645083045
11282da1ee78c8db45a041db4c744e33df489df0,434.2907832209863
03c67f683a415c2ea09b582248bd4cb08528c19d,573.3107295104056
046e844fb06a07ba30b41521f0065a8d9c6e5024,374.88596714203095
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,435.06363592066464
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,440.54251703845614
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,556.1408102685233
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,504.9538713793887
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,546.1068281752023
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,504.50134895362396
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,461.0924183247447
59bfa081e020013410d9f60f91813964ba749bb2,449.7590621198194
f5e069ee3bc95998464e8ff5da048b7f999921ed,436.72550441820977
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,567.5749565940756
664f44258212a1f7e4086f2b4845d586c543fa3f,482.01932450902757
265cd7befa74a9f2a198fc57baec9858075f8419,468.02048657165767
